[INFO ] [2022-09-08 14:56:06,189] Register - step 01: open register page
[INFO ] [2022-09-08 14:56:07,843] Register - step 02: enter to firstname textbox with value is 'Automation'
[INFO ] [2022-09-08 14:56:07,930] Register - step 03: enter to lastName textbox with value is 'FC'
[INFO ] [2022-09-08 14:56:07,986] Register - step 04: enter to email textbox with value is 'automationfc786@hotmail.com'
[INFO ] [2022-09-08 14:56:08,071] Register - step 05: enter to password textbox with value is '123456'
[INFO ] [2022-09-08 14:56:08,924] Register - step 06: enter to password textbox with value is '123456'
[INFO ] [2022-09-08 14:56:08,976] Register - step 07: click register button
[INFO ] [2022-09-08 14:56:09,938] Register - step 08: verify register success message is displayed 
[INFO ] [2022-09-08 14:56:10,026] Register - step 09: click logout button
[INFO ] [2022-09-08 14:56:10,770] Login - step 01: open login page
[INFO ] [2022-09-08 14:56:11,292] Login - step 02: enter email to textbox with value is 'automationfc786@hotmail.com'
[INFO ] [2022-09-08 14:56:11,340] Login - step 03: enter password to textbox with value is '123456'
[INFO ] [2022-09-08 14:56:11,388] Login - step 04: click login button
[INFO ] [2022-09-08 14:56:12,131] Login - step 05: Verify 'My Account' link is displayed
[INFO ] [2022-09-08 14:56:12,180] My Account - step 01: Navigate 'My Account' page
[INFO ] [2022-09-08 14:56:12,726] My Account - step 02: Verify 'Customer Page' link is displayed
[INFO ] [2022-09-08 14:56:22,769] My Account - step 03: Verify 'First Name' value is correctly
[INFO ] [2022-09-08 14:56:22,806] My Account - step 04: Verify 'Last Name' value is correctly
[INFO ] [2022-09-08 14:56:22,834] My Account - step 05: Verify 'Email' value is correctly
[INFO ] [2022-09-08 14:56:22,869] OS name = mac os x
[INFO ] [2022-09-08 14:56:22,869] Driver instance name = firefoxdriver: firefox on mac (7b3be0ea-29e6-4059-bcef-8fadd1e782ee)
[INFO ] [2022-09-09 16:29:10,493] OS name = mac os x
[INFO ] [2022-09-09 16:29:10,494] 
[INFO ] [2022-09-09 16:29:33,969] Register - step 01: open register page
[INFO ] [2022-09-09 16:29:35,489] Register - step 02: enter to firstname textbox with value is 'Automation'
[INFO ] [2022-09-09 16:29:35,557] Register - step 03: enter to lastName textbox with value is 'FC'
[INFO ] [2022-09-09 16:29:35,619] Register - step 04: enter to email textbox with value is 'automationfc5112@hotmail.com'
[INFO ] [2022-09-09 16:29:35,708] Register - step 05: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 16:29:36,566] Register - step 06: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 16:29:36,619] Register - step 07: click register button
[INFO ] [2022-09-09 16:29:37,475] Register - step 08: verify register success message is displayed 
[INFO ] [2022-09-09 16:29:37,559] Register - step 09: click logout button
[INFO ] [2022-09-09 16:29:38,332] Login - step 01: open login page
[INFO ] [2022-09-09 16:29:38,899] Login - step 02: enter email to textbox with value is 'automationfc5112@hotmail.com'
[INFO ] [2022-09-09 16:29:39,128] Login - step 03: enter password to textbox with value is '123456'
[INFO ] [2022-09-09 16:29:39,184] Login - step 04: click login button
[INFO ] [2022-09-09 16:29:39,863] Login - step 05: Verify 'My Account' link is displayed
[INFO ] [2022-09-09 16:29:39,910] My Account - step 01: Navigate 'My Account' page
[INFO ] [2022-09-09 16:29:40,441] My Account - step 02: Verify 'Customer Page' link is displayed
[INFO ] [2022-09-09 16:29:50,484] My Account - step 03: Verify 'First Name' value is correctly
[INFO ] [2022-09-09 16:29:50,518] My Account - step 04: Verify 'Last Name' value is correctly
[INFO ] [2022-09-09 16:29:50,547] My Account - step 05: Verify 'Email' value is correctly
[INFO ] [2022-09-09 16:29:50,581] OS name = mac os x
[INFO ] [2022-09-09 16:29:50,581] Driver instance name = firefoxdriver: firefox on mac (3ff72acf-8f27-44c2-a2fc-0c463fc7b30d)
[INFO ] [2022-09-09 16:30:58,708] OS name = mac os x
[INFO ] [2022-09-09 16:30:58,709] 
[INFO ] [2022-09-09 16:31:19,276] OS name = mac os x
[INFO ] [2022-09-09 16:31:19,277] 
[INFO ] [2022-09-09 16:43:18,561] OS name = mac os x
[INFO ] [2022-09-09 16:43:18,562] 
[INFO ] [2022-09-09 17:18:25,966] Register - step 01: open register page
[INFO ] [2022-09-09 17:18:27,878] Register - step 02: enter to firstname textbox with value is 'Automation'
[INFO ] [2022-09-09 17:18:27,948] Register - step 03: enter to lastName textbox with value is 'FC'
[INFO ] [2022-09-09 17:18:27,996] Register - step 04: enter to email textbox with value is 'automationfc1777@hotmail.com'
[INFO ] [2022-09-09 17:18:28,091] Register - step 05: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 17:18:28,938] Register - step 06: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 17:18:28,983] Register - step 07: click register button
[INFO ] [2022-09-09 17:18:30,025] Register - step 08: verify register success message is displayed 
[INFO ] [2022-09-09 17:18:30,116] Register - step 09: click logout button
[INFO ] [2022-09-09 17:18:30,861] Login - step 01: open login page
[INFO ] [2022-09-09 17:18:31,552] Login - step 02: enter email to textbox with value is 'automationfc1777@hotmail.com'
[INFO ] [2022-09-09 17:18:31,601] Login - step 03: enter password to textbox with value is '123456'
[INFO ] [2022-09-09 17:18:31,643] Login - step 04: click login button
[INFO ] [2022-09-09 17:18:32,332] Login - step 05: Verify 'My Account' link is displayed
[INFO ] [2022-09-09 17:18:32,379] My Account - step 01: Navigate 'My Account' page
[INFO ] [2022-09-09 17:18:33,048] My Account - step 02: Verify 'Customer Page' link is displayed
[INFO ] [2022-09-09 17:18:43,088] My Account - step 03: Verify 'First Name' value is correctly
[INFO ] [2022-09-09 17:18:43,141] My Account - step 04: Verify 'Last Name' value is correctly
[INFO ] [2022-09-09 17:18:43,175] My Account - step 05: Verify 'Email' value is correctly
[INFO ] [2022-09-09 17:18:43,215] OS name = mac os x
[INFO ] [2022-09-09 17:18:43,215] Driver instance name = firefoxdriver: firefox on mac (3e39876c-78dc-480d-ba97-85847944a610)
[INFO ] [2022-09-09 17:19:33,289] Register - step 01: open register page
[INFO ] [2022-09-09 17:19:34,800] Register - step 02: enter to firstname textbox with value is 'Automation'
[INFO ] [2022-09-09 17:19:34,870] Register - step 03: enter to lastName textbox with value is 'FC'
[INFO ] [2022-09-09 17:19:34,917] Register - step 04: enter to email textbox with value is 'automationfc9866@hotmail.com'
[INFO ] [2022-09-09 17:19:35,012] Register - step 05: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 17:19:35,853] Register - step 06: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 17:19:35,902] Register - step 07: click register button
[INFO ] [2022-09-09 17:19:36,820] Register - step 08: verify register success message is displayed 
[INFO ] [2022-09-09 17:19:36,911] Register - step 09: click logout button
[INFO ] [2022-09-09 17:19:37,574] Login - step 01: open login page
[INFO ] [2022-09-09 17:19:38,097] Login - step 02: enter email to textbox with value is 'automationfc9866@hotmail.com'
[INFO ] [2022-09-09 17:19:38,164] Login - step 03: enter password to textbox with value is '123456'
[INFO ] [2022-09-09 17:19:38,215] Login - step 04: click login button
[INFO ] [2022-09-09 17:19:38,945] Login - step 05: Verify 'My Account' link is displayed
[INFO ] [2022-09-09 17:19:39,004] My Account - step 01: Navigate 'My Account' page
[INFO ] [2022-09-09 17:19:40,165] My Account - step 02: Verify 'Customer Page' link is displayed
[INFO ] [2022-09-09 17:19:50,206] My Account - step 03: Verify 'First Name' value is correctly
[INFO ] [2022-09-09 17:19:50,239] My Account - step 04: Verify 'Last Name' value is correctly
[INFO ] [2022-09-09 17:19:50,268] My Account - step 05: Verify 'Email' value is correctly
[INFO ] [2022-09-09 17:19:50,305] OS name = mac os x
[INFO ] [2022-09-09 17:19:50,305] Driver instance name = firefoxdriver: firefox on mac (504fc2e9-5813-4e74-8831-a69bb67195c9)
[INFO ] [2022-09-09 17:23:30,871] Register - step 01: open register page
[INFO ] [2022-09-09 17:23:32,338] Register - step 02: enter to firstname textbox with value is 'Automation'
[INFO ] [2022-09-09 17:23:32,424] Register - step 03: enter to lastName textbox with value is 'FC'
[INFO ] [2022-09-09 17:23:32,467] Register - step 04: enter to email textbox with value is 'automationfc348@hotmail.com'
[INFO ] [2022-09-09 17:23:32,556] Register - step 05: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 17:23:33,370] Register - step 06: enter to password textbox with value is '123456'
[INFO ] [2022-09-09 17:23:33,412] Register - step 07: click register button
[INFO ] [2022-09-09 17:23:34,231] Register - step 08: verify register success message is displayed 
[INFO ] [2022-09-09 17:23:34,313] Register - step 09: click logout button
[INFO ] [2022-09-09 17:23:34,967] Login - step 01: open login page
[INFO ] [2022-09-09 17:23:35,432] Login - step 02: enter email to textbox with value is 'automationfc348@hotmail.com'
[INFO ] [2022-09-09 17:23:35,482] Login - step 03: enter password to textbox with value is '123456'
[INFO ] [2022-09-09 17:23:35,523] Login - step 04: click login button
[INFO ] [2022-09-09 17:23:36,295] Login - step 05: Verify 'My Account' link is displayed
[INFO ] [2022-09-09 17:23:36,356] My Account - step 01: Navigate 'My Account' page
[INFO ] [2022-09-09 17:23:36,831] My Account - step 02: Verify 'Customer Page' link is displayed
[INFO ] [2022-09-09 17:23:46,874] My Account - step 03: Verify 'First Name' value is correctly
[INFO ] [2022-09-09 17:23:46,910] My Account - step 04: Verify 'Last Name' value is correctly
